User-ID,ISBN,Book-Rating
276746,449006522,0
276746,055356451X,0
276755,451166892,5
276796,330332775,5
276925,316666343,0
276925,451527747,0
276925,486282112,0
276925,804106304,0
276925,971880107,0
276925,1853262404,0
276925,8427007450,0
276939,971880107,0
276953,446310786,10
276954,971880107,0
276986,60930187,10
276994,3596214629,8
277042,446605484,7
277042,971880107,2
277072,1573229571,9
277096,64407667,7
277123,399138684,0
277157,743486226,7
277157,971880107,0
277168,440225701,0
277187,671042858,0
277195,316666343,0
277195,330332775,10
277195,042511774X,0
277195,446605484,0
277195,671021001,10
277197,743206045,0
277197,743229878,6
277203,590629719,10
277212,044023722X,8
277246,452282152,10
277315,60173289,8
277315,60976845,5
277363,156027321,8
277378,312195516,7
277378,670892963,7
277378,971880107,0
277411,044023722X,0
277413,316666343,0
277427,60913509,0
277427,61009059,9
277427,140067477,0
277427,142001740,0
277427,316666343,0
277427,316776963,8
277427,345311396,0
277427,345404777,0
277427,375751513,9
277427,380710218,0
277427,380718332,0
277427,385503857,9
277427,039304016X,8
277427,399144463,0
277427,440225701,0
277427,684864320,0
277427,743406176,8
277427,971880107,0
277439,316666343,7
277439,671027360,7
277462,312195516,10
277478,440225701,0
277478,440234743,0
277478,449907481,0
277478,671525832,0
277478,671888587,0
277478,786868716,0
277478,971880107,0
277517,452282152,8
277523,316693200,10
277523,385508042,10
277523,743206045,10
277523,1558744150,10
277530,971880107,0
277554,449907481,0
277563,312986769,7
277563,312995431,9
277569,385511612,0
277623,786890436,4
277629,671000306,7
277639,425142485,7
277639,440211727,8
277639,440218535,0
277639,590687301,0
277641,452277337,8
277647,067976397X,8
277689,804106304,0
277706,380717018,0
277711,452264464,0
277722,449005615,10
277743,446310786,9
277744,449005615,0
277752,316666343,7
277783,380778556,8
277803,142001740,8
277827,380778556,9
277828,380778556,8
277901,446672211,7
277901,452282152,8
277901,679427430,8
277915,60923245,0
277922,440225701,6
277928,60173289,0
277928,375400117,0
277928,038542471X,0
277928,670892963,0
277928,679429220,0
277932,971880107,0
277937,312195516,0
277937,316168815,7
277938,446672211,9
277958,142001740,9
277959,156027321,8
277965,60173289,0
277965,316666343,0
277965,316789089,5
277965,345378490,0
277965,345402871,0
277965,345417623,0
277987,385503857,0
278002,044651747X,0
278026,61009059,8
278026,449006522,8
278026,743206045,7
278044,345441133,0
278044,553564528,7
278075,452282152,8
278085,374270325,7
278104,804111359,0
278112,385472951,8
278119,044661162X,9
278137,312195516,0
278137,671673688,0
278137,671888587,0
278137,804106304,8
278137,971880107,0
278137,1558744150,9
278144,345417623,0
278144,039914739X,0
278144,440234743,0
278144,446672211,0
278144,679450432,0
278144,679450440,0
278144,743206045,0
278144,140003180X,0
278153,446612545,0
278172,380817144,7
278176,971880107,9
278185,142000205,4
278188,140345809,0
278188,440122090,4
278188,440223571,9
278188,440225701,9
278188,515134368,0
278188,553278746,0
278202,312252617,4
278202,446527165,0
278218,349101779,10
278221,804106304,9
278243,156027321,8
278254,671027360,8
278255,1878424319,0
278257,449912302,5
278333,440225701,10
278342,425184226,0
278350,312195516,9
278356,374270325,9
278373,971880107,0
278390,553569058,9
278390,671027360,7
278390,804106304,0
278418,20442408,0
278418,61076031,0
278418,156528207,0
278418,307118703,0
278418,345313860,0
278418,345353625,0
278418,373871562,0
278418,374270325,0
278418,038076654X,0
278418,385306032,0
278418,385420161,0
278418,385490992,0
278418,399138684,0
278418,425120279,0
278418,042518630X,7
278418,044021145X,0
278418,440211727,0
278418,440223571,0
278418,440225701,0
278418,044023722X,0
278418,446310786,0
278418,446523569,0
278418,446602086,0
278418,446672211,0
278418,449212084,0
278418,451155750,0
278418,451162072,0
278418,451181379,0
278418,451205421,0
278418,452264464,0
278418,515122408,0
278418,515127833,0
278418,055356451X,0
278418,671002481,0
278418,671867113,0
278418,743406176,0
278418,1561561428,0
278422,671027360,6
278446,743418190,6
278487,553578693,10
278490,743206053,0
278506,385490992,0
278514,971880107,0
278535,375726403,0
278535,380710218,0
278535,380717018,0
278535,380718332,0
278535,042511774X,0
278535,425182878,9
278535,446605484,10
278541,142001740,9
278552,671021001,7
278554,385730586,9
278561,446612545,7
278586,380728273,0
278633,142000205,7
278633,316666343,9
278633,380730138,0
278633,385730586,0
278633,446672211,0
278633,449907481,6
278681,375704965,7
278692,60976845,0
278723,553580388,0
278781,743211383,0
278798,786868015,7
278800,312995423,9
278813,375726403,0
278819,385511612,0
278843,60173289,9
278843,60976845,0
278843,142000205,9
278843,316789089,0
278843,804106304,0
278851,1558531025,8
2,195153448,0
8,2005018,5
8,60973129,0
8,374157065,0
8,393045218,0
8,399135782,0
8,425176428,0
8,671870432,0
8,679425608,0
8,074322678X,5
8,771074670,0
8,080652121X,0
8,887841740,5
8,1552041778,5
8,1567407781,6
8,1575663937,6
8,1881320189,7
9,440234743,0
9,452264464,6
9,609804618,0
10,1841721522,0
12,1879384493,10
14,61076031,5
14,439095026,5
14,689821166,6
14,971880107,0
16,345402871,9
16,345417623,0
17,684823802,0
19,375759778,7
20,425163091,0
22,3404921038,7
22,3442353866,0
22,3442446937,0
26,446310786,10
26,449005615,9
32,60168013,8
32,055321215X,0
39,61099686,0
39,553582909,8
39,671888587,7
42,553582747,7
44,042518630X,0
44,440223571,8
44,812523873,0
44,842342702,0
51,440225701,9
53,60914068,3
53,156047624,10
53,245542957,6
53,380715899,9
53,553280333,0
53,961769947,0
53,964778319,0
56,679810307,0
56,679865691,9
64,2070423204,7
67,345260317,0
67,394743741,7
67,042511774X,0
67,804106304,0
68,1853262404,0
69,312970242,0
70,1414035004,10
73,60938412,5
75,140067477,0
75,345465083,0
75,451625889,0
75,1558531025,5
77,441783589,0
78,394895894,8
79,1569871213,0
81,375410538,5
